ITEM,Quantity,Link,Price
ESP32 S3 ,1,https://robodo.in/products/seeed-studio-xiao-esp32s3-sense-2-4ghz-wi-fi-ble-5-0-ov2640-camera-sensor-digital-microphone-battery-charge-supported-rich-interface-iot-embedded-ml?variant=44827345879240,25.4
Li-ion Battery ,1,SELF-SOURCED,0
Battery holder,1,https://www.amazon.in/gp/product/B0D6YYMF9R/,1
SPST Slide switch,1,https://www.amazon.in/gp/product/B08S6XSBBD/,0.82
ESP32 S3 super mini,1,https://www.amazon.in/Autables-ESP32-S3-Supermini-Development-Bluetooth/dp/B0H8YMNKHL/ref=sr_1_3?sr=8-3,7.3
1.8 inch TFT display,1,https://www.amazon.in/ROBODUINO-Without-Screen-Module-Resolution/dp/B0H688V2MF/ref=sr_1_1?sr=8-1,4.7
Micro SD Card,1,SELF-SOURCED,0
Switches,3,SELF-SOURCED,0
Keycaps,3,3d Printed,0
100nF Capacitor ,1,SELF-SOURCED,0
10nF Capacitor,1,SELF-SOURCED,0
PCB,5,jlcpcb.com,13.9
